Count;Date;Time;Sex;Age
1;2020-12-08;12:22;M;51
1;2020-12-08;12:28;M;39
1;2020-12-08;12:35;M;34
1;2020-12-08;12:42;M;54
1;2020-12-08;12:43;M;15
1;2020-12-08;12:44;M;48
1;2020-12-08;12:51;M;44
1;2020-12-08;12:52;M;16
1;2020-12-08;12:54;M;29
1;2020-12-08;12:58;M;59
1;2020-12-08;12:58;M;21
1;2020-12-08;12:59;M;33
1;2020-12-08;12:59;M;56
1;2020-12-08;12:59;M;43
1;2020-12-08;13:00;M;21
1;2020-12-08;13:07;M;38
1;2020-12-08;13:18;M;51
1;2020-12-08;13:19;M;16
1;2020-12-08;13:20;M;56
1;2020-12-08;13:21;M;25
1;2020-12-08;13:22;M;44
1;2020-12-08;13:23;M;25
1;2020-12-08;13:24;M;35
2;2020-12-08;13:25;M;51
1;2020-12-08;13:25;M;34
1;2020-12-08;13:43;M;55
1;2020-12-08;13:53;M;37
1;2020-12-08;13:54;M;21
1;2020-12-08;14:00;M;48
1;2020-12-08;14:05;M;35
1;2020-12-08;14:08;M;55
1;2020-12-08;14:12;M;26
1;2020-12-08;14:21;M;30
1;2020-12-08;14:22;M;27
1;2020-12-08;14:26;M;52
1;2020-12-08;14:28;M;30
1;2020-12-08;14:28;M;37
1;2020-12-08;14:29;M;33
1;2020-12-08;14:30;M;19
1;2020-12-08;14:31;M;59
1;2020-12-08;14:36;M;51
1;2020-12-08;14:37;M;47
1;2020-12-08;14:38;M;23
1;2020-12-08;14:40;M;51
1;2020-12-08;14:42;M;51
1;2020-12-08;14:45;M;37
1;2020-12-08;14:52;M;47
1;2020-12-08;14:52;M;37
1;2020-12-08;14:52;M;28
1;2020-12-08;14:52;M;25
1;2020-12-08;14:53;M;57
1;2020-12-08;14:53;M;31
1;2020-12-08;14:54;M;23
1;2020-12-08;14:55;M;50
1;2020-12-08;15:02;M;17
1;2020-12-08;15:11;M;59
1;2020-12-08;15:11;M;17
1;2020-12-08;15:12;M;18
1;2020-12-08;15:13;M;42
1;2020-12-08;15:14;M;57
1;2020-12-08;15:14;M;15
1;2020-12-08;15:14;M;50
1;2020-12-08;15:14;M;53
1;2020-12-08;15:14;M;20
1;2020-12-08;15:15;M;30
1;2020-12-08;15:17;M;39
1;2020-12-08;15:17;M;27
